MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H
non-clustered_del_1-10Kb	0.012259967078280334	0.06380951957636125	0.04987781860642286	0.008774819437455724	0.007901629217855036	0.023919691299092136	0.0402421291216073	0.06124374086596548
non-clustered_del_10-100Kb	0.006341772123021772	0.017805677695505777	0.013340319765621342	0.37301967655508134	0.025445095903254854	0.01266358029431592	0.01779361913569154	0.015173850064099199
non-clustered_del_100Kb-1Mb	0.005566976837142293	0.039115907537328604	0.03042984252102565	0.006701394243759949	0.0026002315493161704	0.05600482376111646	0.054163217242987755	0.05727929808919849
non-clustered_del_1Mb-10Mb	0.002525826550384147	0.01508025872590228	0.009929857902882084	0.017543493615317107	0.02371811288833376	0.12915990148731943	0.1977446267482959	0.014492342435393858
non-clustered_del_>10Mb	0.8832879985570907	0.10735085992437592	0.5666944660478023	0.37403909539525354	0.3711296290156058	0.6004131795857485	0.17792756833323875	0.35401479437348404
non-clustered_tds_1-10Kb	0.002117305472204145	0.0069668308772148115	0.008464863359073196	0.00822915897395036	0.0056525956168550886	0.01318407423265952	0.015462544639557136	0.01461681214589355
non-clustered_tds_10-100Kb	0.021427428276375466	0.005941829487712698	0.04057057599409377	0.006184668665048955	0.005547242657533551	0.02893628978494987	0.006105851440401202	0.02088204673185192
non-clustered_tds_100Kb-1Mb	0.0012746841053036554	0.01729508662968484	0.011716137614383495	0.009841819398490468	0.031044646359552404	0.008980137069586823	0.03352222779503392	0.018202393646356868
non-clustered_tds_1Mb-10Mb	0.00538337370915997	0.01798689795568938	0.030774783629164394	0.01462897045583532	0.003921590927142456	0.013617894786191041	0.019224421379941153	0.031406520096285515
non-clustered_tds_>10Mb	0.017158810704375055	0.014584849679644319	0.016088369485273677	0.04039824001051923	0.36914888391919937	0.015710753776610048	0.023655090188477747	0.01458936376407473
non-clustered_inv_1-10Kb	5.967199635407844e-06	5.894624687136493e-06	5.471306592817115e-06	4.273154820023297e-06	5.487187720899116e-06	5.317066223562866e-06	5.22578640440285e-06	5.48330726307022e-06
non-clustered_inv_10-100Kb	5.967192033557125e-06	5.894623547869918e-06	5.471309991560061e-06	4.273154890024548e-06	5.487191619192564e-06	5.317065901975248e-06	5.22578824236255e-06	5.483308549721162e-06
non-clustered_inv_100Kb-1Mb	5.967194358065734e-06	5.894623965617103e-06	5.471308782937793e-06	4.273155271737083e-06	5.487190024251565e-06	5.3170665549804846e-06	5.225787150906914e-06	5.483308236400081e-06
non-clustered_inv_1Mb-10Mb	5.966792427783765e-06	5.894610147015712e-06	5.471493286672678e-06	4.273162294457435e-06	5.487410584531983e-06	5.317081351729801e-06	5.225768272709923e-06	5.483370054584454e-06
non-clustered_inv_>10Mb	5.967193492172597e-06	5.8946241568403e-06	5.471309401397894e-06	4.2731550031210075e-06	5.487190611159233e-06	5.3170667815789944e-06	5.225786964313892e-06	5.483308189617966e-06
