NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
246	6.74	23.127	2.802	22.18	0.056	0.967	6000.0
247	6.065	20.681	2.582	21.227	0.058	0.973	6000.0
248	4.95	16.993	2.153	17.088	0.04	0.983	6000.0
249	6.25	21.388	2.57	20.922	0.055	0.971	6000.0
250	5.374	18.358	2.568	20.106	0.054	0.976	7000.0
251	5.258	18.05	2.26	18.21	0.051	0.977	6000.0
252	6.675	22.904	2.943	24.003	0.052	0.965	7000.0
253	6.239	21.404	2.694	20.355	0.066	0.972	6000.0
254	5.629	19.271	2.526	20.407	0.062	0.975	6000.0
255	6.606	22.71	2.806	23.048	0.059	0.961	6000.0
256	7.105	24.294	3.015	23.586	0.068	0.966	6000.0
257	5.837	19.976	2.421	18.478	0.053	0.977	6000.0
258	5.993	20.535	2.609	20.546	0.055	0.976	6000.0
259	6.257	21.492	2.595	21.497	0.06	0.971	6000.0
260	5.628	19.346	2.351	19.363	0.04	0.977	6000.0
261	6.484	22.386	2.887	23.334	0.061	0.964	6000.0
262	5.767	19.731	2.373	17.755	0.055	0.98	6000.0
263	6.599	22.648	2.762	22.069	0.06	0.968	6000.0
264	4.98	16.988	2.166	17.209	0.042	0.98	6000.0
265	5.389	18.454	2.276	17.923	0.052	0.979	6000.0
266	5.548	19.037	2.309	18.788	0.047	0.977	6000.0
267	6.049	20.68	2.607	21.408	0.055	0.971	6000.0
268	6.342	21.63	2.618	20.56	0.059	0.972	6000.0
269	7.065	24.182	3.266	24.72	0.06	0.963	7000.0
270	5.338	18.23	2.192	17.321	0.043	0.982	6000.0
271	7.27	24.826	3.064	24.325	0.068	0.961	6000.0
272	4.918	16.87	1.989	17.353	0.042	0.979	6000.0
273	7.007	23.924	3.234	22.765	0.072	0.964	6000.0
274	5.804	19.816	2.448	19.187	0.045	0.978	6000.0
275	6.228	21.326	2.644	21.328	0.049	0.973	6000.0
276	5.981	20.402	2.706	20.854	0.052	0.974	6000.0
277	5.317	18.219	2.266	18.85	0.042	0.978	6000.0
278	5.795	19.809	2.452	19.775	0.05	0.977	6000.0
279	5.786	19.732	2.25	18.517	0.047	0.978	6000.0
280	5.045	17.231	2.229	18.267	0.047	0.975	6000.0
281	7.012	23.982	3.109	25.261	0.077	0.954	6000.0
282	5.53	18.859	2.305	18.174	0.052	0.974	6000.0
283	6.18	21.111	2.619	21.099	0.056	0.97	6000.0
284	6.245	21.486	2.671	21.278	0.067	0.962	6000.0
285	6.641	22.576	2.811	21.803	0.063	0.968	7000.0
286	6.277	21.494	2.794	23.146	0.053	0.965	6000.0
287	5.521	18.916	2.255	18.547	0.049	0.978	7000.0
288	5.979	20.411	2.489	19.923	0.047	0.975	6000.0
289	5.559	19.098	2.363	19.366	0.035	0.976	6000.0
290	4.621	15.903	1.92	15.401	0.039	0.985	6000.0
291	7.228	24.693	3.222	24.631	0.058	0.963	6000.0
292	6.755	23.142	2.907	23.468	0.06	0.961	6000.0
293	5.327	18.261	2.321	19.208	0.032	0.978	6000.0
294	7.251	24.803	3.211	25.747	0.072	0.953	6000.0
