MutationType	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F	SV32G	SV32H	SV32I	SV32J
clustered_inv_10-100Kb	5.9945108226004375e-06	5.8454708333764136e-06	4.424539943124552e-06	5.608378273004747e-06	5.918163601750981e-06	4.8829993614010525e-06	5.697763478451424e-06	5.52025101893943e-06	5.667952698412069e-06	5.76423951807612e-06
clustered_inv_100Kb-1Mb	5.9926570933640365e-06	5.849240115997105e-06	4.42322736048599e-06	5.607389738878259e-06	5.915967369079723e-06	4.889161957342959e-06	5.7025436731722e-06	5.506798765576639e-06	5.668238336779796e-06	5.749084075876774e-06
clustered_inv_1Mb-10Mb	5.991430285219768e-06	5.862217651974071e-06	4.418574484945699e-06	5.5992731977296765e-06	5.9240923182726515e-06	4.889902361593034e-06	5.699210168532833e-06	5.500698795818105e-06	5.682746156651451e-06	5.755129001401252e-06
clustered_inv_>10Mb	5.988950301199773e-06	5.848673058817534e-06	4.429256656012723e-06	5.616495894944244e-06	5.90969245529528e-06	4.88704162907002e-06	5.696308456730446e-06	5.509369329412207e-06	5.672208282896304e-06	5.7486749279472055e-06
clustered_trans	5.992161934363294e-06	5.842050872939231e-06	4.4210857435130635e-06	5.612611087726101e-06	5.913323029698804e-06	4.897703647045879e-06	5.705458881272687e-06	5.514221042772853e-06	5.664723388609008e-06	5.751644556725316e-06
non-clustered_del_1-10Kb	0.004742838380460979	0.008203921403545873	0.006201576065591308	0.005818173062919125	0.00928975462035254	0.007178488649517515	0.024979216179227666	0.18848742645821687	0.04510875712412215	0.028523327847198295
non-clustered_del_10-100Kb	0.009255418158715986	0.015282048169325628	0.40876040689116017	0.025692574603782263	0.020084299581408924	0.013808085656193802	0.013107027518635073	0.019120898514378103	0.016993716602274646	0.014231992691491665
non-clustered_del_100Kb-1Mb	0.0020290018247232596	0.11385456651795763	0.005369879361218857	0.0016980062141542433	0.023919299932902958	0.030990368306166277	0.00566301321221059	0.022325485313354335	0.016980752647969655	0.0776897905280747
non-clustered_del_1Mb-10Mb	0.0111936456482431	0.024016857671140632	0.012058742388362841	0.01770323044034	0.033365447610248025	0.32060250301683824	0.005254037724945423	0.022128799120141773	0.01046534209602488	0.022904815556383788
non-clustered_del_>10Mb	0.9191308960914611	0.3024538587297146	0.3663219774869847	0.34743826057897226	0.12397094564134471	0.3410250040928452	0.7102073336578906	0.18243054918525728	0.5039334657874653	0.6500376938119298
non-clustered_tds_1-10Kb	0.0015885762630213876	0.024859941926633176	0.004903103539925174	0.004764369800056718	0.0059633341703770135	0.014927691926759324	0.001666273955230653	0.0023622630396427056	0.011331566676313912	0.016252893764803815
non-clustered_tds_10-100Kb	0.0014072369312360536	0.010857367743491586	0.0018964814438064321	0.00171681805277086	0.005057117190313269	0.0015648858790415676	0.08974050614942387	0.013150694959322895	0.028070334924510887	0.00813287980973152
non-clustered_tds_100Kb-1Mb	0.0017138749641379554	0.01696459457165004	0.007494877712977369	0.03443478148320895	0.0283350911497934	0.016125510709436436	0.007514254818742153	0.02763075772784718	0.016264141540609976	0.006269819495386523
non-clustered_tds_1Mb-10Mb	0.001902452329876867	0.015199370921703906	0.009750063608674104	0.0034900584241101423	0.01059461382987745	0.012693581544675621	0.01727477733005723	0.04713338898334778	0.03572170255893435	0.01558054934006477
non-clustered_tds_>10Mb	0.010371224025502326	0.01567639245020897	0.042058972604392994	0.40976109601130223	0.022482422079377274	0.02160280252285198	0.04231393750144889	0.013372723940222537	0.015855615295469153	0.016795053176007744
non-clustered_inv_1-10Kb	6.000077055905492e-06	5.850535882632227e-06	4.421603364658427e-06	5.6078603908305495e-06	5.918531565086255e-06	4.890771910954206e-06	5.696445286327355e-06	5.501539680111738e-06	5.69014870479568e-06	5.7428714565159594e-06
non-clustered_inv_10-100Kb	5.992335223347406e-06	5.851570304643444e-06	4.42036911076571e-06	5.609203475097352e-06	5.920125441545929e-06	4.890816926479914e-06	5.699014728352254e-06	5.505159969712906e-06	5.676525473709649e-06	5.7540637082049165e-06
non-clustered_inv_100Kb-1Mb	5.99400142334915e-06	5.8438378600345585e-06	4.428949292902283e-06	5.610388743703192e-06	5.915351909808247e-06	4.885861617442127e-06	5.701900160423358e-06	5.513085559844085e-06	5.6739876789580025e-06	5.7502732190124465e-06
non-clustered_inv_1Mb-10Mb	5.9985948562689885e-06	5.846063730116091e-06	4.428077408403002e-06	5.604881625311616e-06	5.919264736264728e-06	4.8858706174865015e-06	5.70107988318601e-06	5.507456449507965e-06	5.67425882585495e-06	5.7506169635740125e-06
non-clustered_inv_>10Mb	5.994879758869238e-06	5.835952177896373e-06	4.431329765249253e-06	5.604540639264813e-06	5.919419882532705e-06	4.890610144285687e-06	5.718048547902718e-06	5.508212916250541e-06	5.6641327786948e-06	5.753435619423115e-06
non-clustered_trans	0.036538994499443825	0.4525082473359409	0.13509098304994785	0.14736486804642981	0.7168134133033455	0.21937842048271475	0.08215988329549256	0.46174136916507236	0.2991554503569363	0.1434604125411714
